銘柄コード,銘柄名,市場区分,セクター,有効
2418,ツカダ・グローバルホールディング,スタンダード,サービス業,1
241A,ＲＯＸＸ,グロース,情報・通信業,1
2424,ブラス,スタンダード,サービス業,1
2425,ケアサービス,スタンダード,サービス業,1
2428,ウェルネット,スタンダード,サービス業,1
2429,ワールドホールディングス,プライム,サービス業,1
2432,ディー・エヌ・エー,プライム,情報・通信業,1
2433,博報堂ＤＹホールディングス,プライム,サービス業,1
2435,シダー,スタンダード,サービス業,1
2436,共同ピーアール,スタンダード,サービス業,1
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,スタンダード,サービス業,1
2438,アスカネット,グロース,サービス業,1
2440,ぐるなび,スタンダード,サービス業,1
2445,タカミヤ,プライム,サービス業,1
2449,プラップジャパン,スタンダード,サービス業,1
244A,グロースエクスパートナーズ,グロース,情報・通信業,1
2454,オールアバウト,スタンダード,サービス業,1
2459,アウンコンサルティング,スタンダード,サービス業,1
245A,ＩＮＧＳ,グロース,小売業,1
2461,ファンコミュニケーションズ,プライム,サービス業,1
2462,ライク,プライム,サービス業,1
2464,Ａｏｂａ‐ＢＢＴ,スタンダード,サービス業,1
2469,ヒビノ,スタンダード,サービス業,1
246A,アスア,グロース,サービス業,1
2471,エスプール,プライム,サービス業,1
2475,ＷＤＢホールディングス,プライム,サービス業,1
2477,手間いらず,スタンダード,情報・通信業,1
2479,ジェイテック,スタンダード,サービス業,1
247A,Ａｉロボティクス,グロース,化学,1
2480,システム・ロケーション,スタンダード,情報・通信業,1
2481,タウンニュース社,スタンダード,サービス業,1
2483,翻訳センター,スタンダード,サービス業,1
2484,出前館,スタンダード,情報・通信業,1
2485,ティア,スタンダード,サービス業,1
2488,ＪＴＰ,スタンダード,サービス業,1
2489,アドウェイズ,プライム,サービス業,1
248A,キッズスター,グロース,情報・通信業,1
2491,バリューコマース,プライム,サービス業,1
2492,インフォマート,プライム,サービス業,1
2493,イーサポートリンク,スタンダード,サービス業,1
2497,ユナイテッド,グロース,サービス業,1
2498,オリエンタルコンサルタンツホールディングス,スタンダード,サービス業,1
2499,日本和装ホールディングス,スタンダード,サービス業,1
2501,サッポロホールディングス,プライム,食料品,1
2502,アサヒグループホールディングス,プライム,食料品,1
2503,キリンホールディングス,プライム,食料品,1
250A,シマダヤ,スタンダード,食料品,1
2531,宝ホールディングス,プライム,食料品,1
2533,オエノンホールディングス,プライム,食料品,1
253A,ＥＴＳグループ,スタンダード,建設業,1
2540,養命酒製造,プライム,食料品,1
254A,ＡＩフュージョンキャピタルグループ,スタンダード,証券、商品先物取引業,1
255A,ジーエルテクノホールディングス,スタンダード,精密機器,1
256A,飛島ホールディングス,プライム,建設業,1
2573,北海道コカ・コーラボトリング,スタンダード,食料品,1
2579,コカ・コーラ　ボトラーズジャパンホールディングス,プライム,食料品,1
2585,ライフドリンク　カンパニー,プライム,食料品,1
2586,フルッタフルッタ,グロース,食料品,1
2587,サントリー食品インターナショナル,プライム,食料品,1
2588,プレミアムウォーターホールディングス,スタンダード,食料品,1
2590,ダイドーグループホールディングス,プライム,食料品,1
2593,伊藤園,プライム,食料品,1
25935,伊藤園第１種優先株式,プライム,食料品,1
2594,キーコーヒー,プライム,食料品,1
2597,ユニカフェ,スタンダード,食料品,1
2602,日清オイリオグループ,プライム,食料品,1
2607,不二製油,プライム,食料品,1
2612,かどや製油,スタンダード,食料品,1
2613,Ｊ－オイルミルズ,プライム,食料品,1
261A,日水コン,スタンダード,サービス業,1
262A,インターメスティック,プライム,小売業,1
264A,Ｓｃｈｏｏ,グロース,サービス業,1
2652,まんだらけ,スタンダード,小売業,1
2653,イオン九州,スタンダード,小売業,1
2654,アスモ,スタンダード,小売業,1
2656,ベクターホールディングス,スタンダード,小売業,1
2659,サンエー,プライム,小売業,1
265A,Ｈｍｃｏｍｍ,グロース,情報・通信業,1
2664,カワチ薬品,プライム,小売業,1
2666,オートウェーブ,スタンダード,小売業,1
2667,イメージ　ワン,スタンダード,卸売業,1
2668,タビオ,スタンダード,卸売業,1
2669,カネ美食品,スタンダード,小売業,1
2670,エービーシー・マート,プライム,小売業,1
2673,夢みつけ隊,スタンダード,小売業,1
2674,ハードオフコーポレーション,プライム,小売業,1
2676,高千穂交易,プライム,卸売業,1
2678,アスクル,プライム,小売業,1
2681,ゲオホールディングス,プライム,小売業,1
2683,魚喜,スタンダード,小売業,1
2685,アンドエスティＨＤ,プライム,小売業,1
2686,ジーフット,スタンダード,小売業,1
2687,シー・ヴイ・エス・ベイエリア,スタンダード,サービス業,1
2689,オルバヘルスケアホールディングス,スタンダード,卸売業,1
268A,リガク・ホールディングス,プライム,精密機器,1
2692,伊藤忠食品,プライム,卸売業,1
2693,ＹＫＴ,スタンダード,卸売業,1
2694,焼肉坂井ホールディングス,スタンダード,小売業,1
2695,くら寿司,プライム,小売業,1
2698,キャンドゥ,スタンダード,小売業,1
269A,Ｓａｐｅｅｔ,グロース,情報・通信業,1
2700,木徳神糧,スタンダード,卸売業,1
2702,日本マクドナルドホールディングス,スタンダード,小売業,1
2705,大戸屋ホールディングス,スタンダード,小売業,1
2708,久世,スタンダード,卸売業,1
2721,ジェイホールディングス,スタンダード,卸売業,1
2722,ＩＫホールディングス,スタンダード,小売業,1
2726,パルグループホールディングス,プライム,小売業,1
2730,エディオン,プライム,小売業,1
2733,あらた,プライム,卸売業,1
2734,サーラコーポレーション,プライム,小売業,1
2735,ワッツ,スタンダード,小売業,1
2736,フェスタリアホールディングス,スタンダード,小売業,1
2737,トーメンデバイス,プライム,卸売業,1
2742,ハローズ,プライム,小売業,1
2743,ピクセルカンパニーズ,スタンダード,卸売業,1
2747,北雄ラッキー,スタンダード,小売業,1
2749,ＪＰホールディングス,プライム,サービス業,1
274A,ガーデン,スタンダード,小売業,1
2750,石光商事,スタンダード,卸売業,1
2751,テンポスホールディングス,スタンダード,卸売業,1
2752,フジオフードグループ本社,プライム,小売業,1
2753,あみやき亭,プライム,小売業,1
2760,東京エレクトロン　デバイス,プライム,卸売業,1
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,スタンダード,小売業,1
2763,エフティグループ,スタンダード,卸売業,1
2764,ひらまつ,スタンダード,小売業,1
2767,円谷フィールズホールディングス,プライム,卸売業,1
2768,双日,プライム,卸売業,1
2769,ヴィレッジヴァンガードコーポレーション,スタンダード,小売業,1
276A,ククレブ・アドバイザーズ,グロース,不動産業,1
2776,新都ホールディングス,スタンダード,卸売業,1
2778,パレモ・ホールディングス,スタンダード,小売業,1
277A,グロービング,グロース,サービス業,1
2780,コメ兵ホールディングス,スタンダード,小売業,1
2782,セリア,スタンダード,小売業,1
2784,アルフレッサ　ホールディングス,プライム,卸売業,1
2788,アップルインターナショナル,スタンダード,卸売業,1
2789,カルラ,スタンダード,小売業,1
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,グロース,精密機器,1
2790,ナフコ,スタンダード,小売業,1
2791,大黒天物産,プライム,小売業,1
2792,ハニーズホールディングス,プライム,小売業,1
2795,日本プリメックス,スタンダード,卸売業,1
2796,ファーマライズホールディングス,スタンダード,小売業,1
2798,ワイズテーブルコーポレーション,スタンダード,小売業,1
2801,キッコーマン,プライム,食料品,1
2802,味の素,プライム,食料品,1
2804,ブルドックソース,プライム,食料品,1
2805,ヱスビー食品,スタンダード,食料品,1
2806,ユタカフーズ,スタンダード,食料品,1
2809,キユーピー,プライム,食料品,1
280A,ＴＭＨ,グロース,卸売業,1
2810,ハウス食品グループ本社,プライム,食料品,1
2811,カゴメ,プライム,食料品,1
2813,和弘食品,スタンダード,食料品,1
2814,佐藤食品工業,スタンダード,食料品,1
2815,アリアケジャパン,プライム,食料品,1
2816,ダイショー,スタンダード,食料品,1
2818,ピエトロ,スタンダード,食料品,1
2819,エバラ食品工業,スタンダード,食料品,1
281A,インフォメティス,グロース,情報・通信業,1
2820,やまみ,スタンダード,食料品,1
2831,はごろもフーズ,スタンダード,食料品,1
285A,キオクシアホールディングス,プライム,電気機器,1
286A,ユカリア,グロース,サービス業,1
2871,ニチレイ,プライム,食料品,1
2872,セイヒョー,スタンダード,食料品,1
2874,横浜冷凍,プライム,卸売業,1
2875,東洋水産,プライム,食料品,1
2876,デルソーレ,スタンダード,食料品,1
2877,日東ベスト,スタンダード,食料品,1
287A,黒田グループ,スタンダード,卸売業,1
2882,イートアンドホールディングス,プライム,食料品,1
2883,大冷,スタンダード,食料品,1
