銘柄コード,銘柄名,市場区分,セクター,有効
3569,セーレン,プライム,繊維製品,1
3571,ソトー,スタンダード,繊維製品,1
3577,東海染工,スタンダード,繊維製品,1
3580,小松マテーレ,プライム,繊維製品,1
3583,オーベクス,スタンダード,繊維製品,1
3591,ワコールホールディングス,プライム,繊維製品,1
3593,ホギメディカル,プライム,繊維製品,1
3597,自重堂,スタンダード,繊維製品,1
3598,山喜,スタンダード,繊維製品,1
3600,フジックス,スタンダード,繊維製品,1
3607,クラウディアホールディングス,スタンダード,繊維製品,1
3608,ＴＳＩホールディングス,プライム,繊維製品,1
3611,マツオカコーポレーション,スタンダード,繊維製品,1
3612,ワールド,プライム,繊維製品,1
3622,ネットイヤーグループ,グロース,情報・通信業,1
3623,ビリングシステム,グロース,情報・通信業,1
3624,アクセルマーク,グロース,情報・通信業,1
3625,テックファームホールディングス,グロース,情報・通信業,1
3626,ＴＩＳ,プライム,情報・通信業,1
3627,テクミラホールディングス,スタンダード,情報・通信業,1
3628,データホライゾン,グロース,情報・通信業,1
3632,グリーホールディングス,プライム,情報・通信業,1
3633,ＧＭＯペパボ,スタンダード,情報・通信業,1
3634,ソケッツ,スタンダード,情報・通信業,1
3635,コーエーテクモホールディングス,プライム,情報・通信業,1
3636,三菱総合研究所,プライム,情報・通信業,1
3639,ボルテージ,スタンダード,情報・通信業,1
3640,電算,スタンダード,情報・通信業,1
3641,パピレス,スタンダード,情報・通信業,1
3645,メディカルネット,グロース,情報・通信業,1
3646,駅探,グロース,情報・通信業,1
3647,ジー・スリーホールディングス,スタンダード,情報・通信業,1
3648,ＡＧＳ,スタンダード,情報・通信業,1
3649,ファインデックス,プライム,情報・通信業,1
3652,ディジタルメディアプロフェッショナル,グロース,情報・通信業,1
3653,モルフォ,グロース,情報・通信業,1
3655,ブレインパッド,プライム,情報・通信業,1
3656,ＫＬａｂ,プライム,情報・通信業,1
3657,ポールトゥウィンホールディングス,プライム,情報・通信業,1
3659,ネクソン,プライム,情報・通信業,1
365A,伊澤タオル,スタンダード,繊維製品,1
3660,アイスタイル,プライム,情報・通信業,1
3661,エムアップホールディングス,プライム,情報・通信業,1
3662,エイチームホールディングス,プライム,情報・通信業,1
3663,セルシス,プライム,情報・通信業,1
3664,モブキャストホールディングス,グロース,情報・通信業,1
3665,エニグモ,プライム,情報・通信業,1
3667,ｅｎｉｓｈ,スタンダード,情報・通信業,1
3668,コロプラ,プライム,情報・通信業,1
366A,ウェルネス・コミュニケーションズ,グロース,サービス業,1
3670,協立情報通信,スタンダード,情報・通信業,1
3671,ソフトマックス,グロース,情報・通信業,1
3672,オルトプラス,スタンダード,情報・通信業,1
3673,ブロードリーフ,プライム,情報・通信業,1
3674,オークファン,グロース,情報・通信業,1
3675,クロス・マーケティンググループ,プライム,情報・通信業,1
3676,デジタルハーツホールディングス,プライム,情報・通信業,1
3678,メディアドゥ,プライム,情報・通信業,1
3679,じげん,プライム,情報・通信業,1
367A,プリモグローバルホールディングス,スタンダード,小売業,1
3680,ホットリンク,グロース,情報・通信業,1
3681,ブイキューブ,プライム,情報・通信業,1
3682,エンカレッジ・テクノロジ,スタンダード,情報・通信業,1
3683,サイバーリンクス,スタンダード,情報・通信業,1
3686,ディー・エル・イー,スタンダード,情報・通信業,1
3687,フィックスターズ,プライム,情報・通信業,1
3688,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,プライム,情報・通信業,1
368A,北里コーポレーション,プライム,精密機器,1
3690,イルグルム,スタンダード,情報・通信業,1
3691,デジタルプラス,グロース,情報・通信業,1
3692,ＦＦＲＩセキュリティ,グロース,情報・通信業,1
3694,オプティム,プライム,情報・通信業,1
3695,ＧＭＯプロダクトプラットフォーム,グロース,情報・通信業,1
3696,セレス,プライム,情報・通信業,1
3697,ＳＨＩＦＴ,プライム,情報・通信業,1
3698,ＣＲＩ・ミドルウェア,グロース,情報・通信業,1
369A,エータイ,グロース,サービス業,1
3708,特種東海製紙,プライム,パルプ・紙,1
3710,ジョルダン,スタンダード,情報・通信業,1
3712,情報企画,スタンダード,情報・通信業,1
3719,ＡＩストーム,スタンダード,情報・通信業,1
3723,日本ファルコム,グロース,情報・通信業,1
3726,フォーシーズＨＤ,スタンダード,小売業,1
3727,アプリックス,グロース,情報・通信業,1
372A,レント,スタンダード,サービス業,1
3733,ソフトウェア・サービス,スタンダード,情報・通信業,1
373A,リップス,グロース,化学,1
3741,セック,プライム,情報・通信業,1
3744,サイオス,スタンダード,情報・通信業,1
3747,インタートレード,スタンダード,情報・通信業,1
3750,ＡＤＲ１２０Ｓ,スタンダード,情報・通信業,1
3753,フライトソリューションズ,スタンダード,情報・通信業,1
3758,アエリア,スタンダード,情報・通信業,1
3760,ケイブ,スタンダード,情報・通信業,1
3762,テクマトリックス,プライム,情報・通信業,1
3763,プロシップ,プライム,情報・通信業,1
3765,ガンホー・オンライン・エンターテイメント,プライム,情報・通信業,1
3766,システムズ・デザイン,スタンダード,情報・通信業,1
3768,リスクモンスター,スタンダード,情報・通信業,1
3769,ＧＭＯペイメントゲートウェイ,プライム,情報・通信業,1
3771,システムリサーチ,プライム,情報・通信業,1
3772,ウェルス・マネジメント,スタンダード,不動産業,1
3773,アドバンスト・メディア,グロース,情報・通信業,1
3774,インターネットイニシアティブ,プライム,情報・通信業,1
3776,ブロードバンドタワー,スタンダード,情報・通信業,1
3777,環境フレンドリーホールディングス,グロース,情報・通信業,1
3778,さくらインターネット,プライム,情報・通信業,1
3779,ジェイ・エスコムホールディングス,スタンダード,情報・通信業,1
3787,テクノマセマティカル,スタンダード,情報・通信業,1
3788,ＧＭＯグローバルサイン・ホールディングス,プライム,情報・通信業,1
378A,ヒット,グロース,サービス業,1
3791,ＩＧポート,スタンダード,情報・通信業,1
3793,ドリコム,グロース,情報・通信業,1
3796,いい生活,スタンダード,情報・通信業,1
3798,ＵＬＳグループ,スタンダード,情報・通信業,1
3799,キーウェアソリューションズ,スタンダード,情報・通信業,1
3800,ユニリタ,スタンダード,情報・通信業,1
3802,エコミック,スタンダード,情報・通信業,1
3803,イメージ情報開発,グロース,情報・通信業,1
3804,システム　ディ,スタンダード,情報・通信業,1
3807,フィスコ,グロース,情報・通信業,1
3810,サイバーステップ,スタンダード,情報・通信業,1
3815,メディア工房,グロース,情報・通信業,1
3816,大和コンピューター,スタンダード,情報・通信業,1
3817,ＳＲＡホールディングス,プライム,情報・通信業,1
3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ,スタンダード,情報・通信業,1
3825,リミックスポイント,スタンダード,小売業,1
3826,システムインテグレータ,スタンダード,情報・通信業,1
3834,朝日ネット,プライム,情報・通信業,1
3835,ｅＢＡＳＥ,プライム,情報・通信業,1
3836,アバントグループ,プライム,情報・通信業,1
3837,アドソル日進,プライム,情報・通信業,1
3839,ＯＤＫソリューションズ,スタンダード,情報・通信業,1
3840,パス,スタンダード,情報・通信業,1
3841,ジーダット,スタンダード,情報・通信業,1
3842,ネクストジェン,スタンダード,情報・通信業,1
3843,フリービット,プライム,情報・通信業,1
3844,コムチュア,プライム,情報・通信業,1
3845,アイフリークモバイル,スタンダード,情報・通信業,1
3848,データ・アプリケーション,スタンダード,情報・通信業,1
3850,エヌ・ティ・ティ・データ・イントラマート,スタンダード,情報・通信業,1
3851,日本一ソフトウェア,スタンダード,情報・通信業,1
3853,アステリア,プライム,情報・通信業,1
3854,アイル,プライム,情報・通信業,1
3856,Ａｂａｌａｎｃｅ,スタンダード,電気機器,1
3858,ユビキタスＡＩ,スタンダード,情報・通信業,1
3861,王子ホールディングス,プライム,パルプ・紙,1
3863,日本製紙,プライム,パルプ・紙,1
3864,三菱製紙,プライム,パルプ・紙,1
3865,北越コーポレーション,プライム,パルプ・紙,1
386A,みのや,スタンダード,小売業,1
3877,中越パルプ工業,プライム,パルプ・紙,1
3878,巴川コーポレーション,スタンダード,化学,1
387A,フラー,グロース,情報・通信業,1
3880,大王製紙,プライム,パルプ・紙,1
3891,ニッポン高度紙工業,スタンダード,パルプ・紙,1
3892,岡山製紙,スタンダード,パルプ・紙,1
3895,ハビックス,スタンダード,パルプ・紙,1
3896,阿波製紙,スタンダード,パルプ・紙,1
3900,クラウドワークス,グロース,情報・通信業,1
3901,マークラインズ,プライム,情報・通信業,1
3902,メディカル・データ・ビジョン,プライム,情報・通信業,1
3903,ｇｕｍｉ,プライム,情報・通信業,1
3904,カヤック,グロース,情報・通信業,1
3905,データセクション,グロース,情報・通信業,1
3907,シリコンスタジオ,グロース,情報・通信業,1
3908,コラボス,グロース,情報・通信業,1
3909,ショーケース,スタンダード,情報・通信業,1
3910,エムケイシステム,スタンダード,情報・通信業,1
3911,Ａｉｍｉｎｇ,グロース,情報・通信業,1
3912,モバイルファクトリー,スタンダード,情報・通信業,1
3913,ＧｒｅｅｎＢｅｅ,グロース,情報・通信業,1
3914,ＪＩＧ－ＳＡＷ,グロース,情報・通信業,1
3915,テラスカイ,プライム,情報・通信業,1
3916,デジタル・インフォメーション・テクノロジー,プライム,情報・通信業,1
3917,アイリッジ,グロース,情報・通信業,1
3918,ＰＣＩホールディングス,スタンダード,情報・通信業,1
3920,アイビーシー,スタンダード,情報・通信業,1
3921,ネオジャパン,プライム,情報・通信業,1
3922,ＰＲ　ＴＩＭＥＳ,プライム,情報・通信業,1
3923,ラクス,プライム,情報・通信業,1
3924,ランドコンピュータ,プライム,情報・通信業,1
3925,ダブルスタンダード,プライム,情報・通信業,1
3926,オープンドア,プライム,情報・通信業,1
3927,フーバーブレイン,グロース,情報・通信業,1
3928,マイネット,スタンダード,情報・通信業,1
3929,ソーシャルワイヤー,グロース,情報・通信業,1
3930,はてな,グロース,情報・通信業,1
3931,バリューゴルフ,グロース,情報・通信業,1
3932,アカツキ,プライム,情報・通信業,1
3933,チエル,スタンダード,情報・通信業,1
3934,ベネフィットジャパン,スタンダード,情報・通信業,1
3935,エディア,スタンダード,情報・通信業,1
3936,グローバルウェイ,グロース,情報・通信業,1
3937,Ｕｂｉｃｏｍホールディングス,プライム,情報・通信業,1
3939,カナミックネットワーク,プライム,情報・通信業,1
3940,ノムラシステムコーポレーション,スタンダード,情報・通信業,1
3941,レンゴー,プライム,パルプ・紙,1
3943,大石産業,スタンダード,パルプ・紙,1
3944,古林紙工,スタンダード,パルプ・紙,1
3945,スーパーバッグ,スタンダード,パルプ・紙,1
3946,トーモク,プライム,パルプ・紙,1
3947,ダイナパック,スタンダード,パルプ・紙,1
3948,光ビジネスフォーム,スタンダード,パルプ・紙,1
3950,ザ・パック,プライム,パルプ・紙,1
3951,朝日印刷,スタンダード,パルプ・紙,1
3953,大村紙業,スタンダード,パルプ・紙,1
3954,昭和パックス,スタンダード,パルプ・紙,1
3955,イムラ,スタンダード,パルプ・紙,1
3958,笹徳印刷,スタンダード,パルプ・紙,1
3961,シルバーエッグ・テクノロジー,グロース,情報・通信業,1
3962,チェンジホールディングス,プライム,情報・通信業,1
3963,シンクロ・フード,プライム,情報・通信業,1
3964,オークネット,プライム,情報・通信業,1
3965,キャピタル・アセット・プランニング,スタンダード,情報・通信業,1
3967,エルテス,グロース,情報・通信業,1
3968,セグエグループ,プライム,情報・通信業,1
3969,エイトレッド,スタンダード,情報・通信業,1
3970,イノベーション,グロース,情報・通信業,1
3974,ＳＣＡＴ,スタンダード,情報・通信業,1
3976,シャノン,グロース,情報・通信業,1
3979,うるる,グロース,情報・通信業,1
3981,ビーグリー,スタンダード,情報・通信業,1
3983,オロ,プライム,情報・通信業,1
3984,ユーザーローカル,プライム,情報・通信業,1
3985,テモナ,スタンダード,情報・通信業,1
3986,ビーブレイクシステムズ,グロース,情報・通信業,1
3987,エコモット,グロース,情報・通信業,1
3988,ＳＹＳホールディングス,スタンダード,情報・通信業,1
3989,シェアリングテクノロジー,グロース,情報・通信業,1
3991,ウォンテッドリー,グロース,情報・通信業,1
3992,ニーズウェル,プライム,情報・通信業,1
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,プライム,情報・通信業,1
3994,マネーフォワード,プライム,情報・通信業,1
3996,サインポスト,スタンダード,情報・通信業,1
3997,トレードワークス,スタンダード,情報・通信業,1
3998,すららネット,グロース,情報・通信業,1
4004,レゾナック・ホールディングス,プライム,化学,1
4005,住友化学,プライム,化学,1
4008,住友精化,プライム,化学,1
4011,ヘッドウォータース,グロース,情報・通信業,1
4012,アクシス,スタンダード,情報・通信業,1
4013,勤次郎,グロース,情報・通信業,1
4014,カラダノート,グロース,情報・通信業,1
4015,ペイクラウドホールディングス,グロース,情報・通信業,1
4016,ＭＩＴホールディングス,スタンダード,情報・通信業,1
4017,クリーマ,グロース,情報・通信業,1
4019,スタメン,グロース,情報・通信業,1
4020,ビートレンド,グロース,情報・通信業,1
4021,日産化学,プライム,化学,1
4022,ラサ工業,プライム,化学,1
4023,クレハ,プライム,化学,1
4025,多木化学,プライム,化学,1
4026,神島化学工業,スタンダード,ガラス・土石製品,1
4027,テイカ,プライム,化学,1
4028,石原産業,プライム,化学,1
402A,アクセルスペースホールディングス,グロース,輸送用機器,1
4031,片倉コープアグリ,スタンダード,化学,1
4040,南海化学,スタンダード,化学,1
4041,日本曹達,プライム,化学,1
4042,東ソー,プライム,化学,1
4043,トクヤマ,プライム,化学,1
4044,セントラル硝子,プライム,化学,1
4045,東亞合成,プライム,化学,1
4046,大阪ソーダ,プライム,化学,1
4047,関東電化工業,プライム,化学,1
4051,ＧＭＯフィナンシャルゲート,プライム,情報・通信業,1
4052,フィーチャ,グロース,情報・通信業,1
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,プライム,情報・通信業,1
4054,日本情報クリエイト,グロース,情報・通信業,1
4055,ティアンドエスグループ,グロース,情報・通信業,1
4056,ニューラルグループ,グロース,情報・通信業,1
4057,インターファクトリー,グロース,情報・通信業,1
4058,トヨクモ,グロース,情報・通信業,1
4059,まぐまぐ,スタンダード,情報・通信業,1
4060,ｒａｋｕｍｏ,グロース,情報・通信業,1
4061,デンカ,プライム,化学,1
4062,イビデン,プライム,電気機器,1
4063,信越化学工業,プライム,化学,1
4064,日本カーバイド工業,プライム,化学,1
4068,ベイシス,グロース,情報・通信業,1
4069,ＢｌｕｅＭｅｍｅ,グロース,情報・通信業,1
4071,プラスアルファ・コンサルティング,プライム,情報・通信業,1
4072,電算システムホールディングス,プライム,情報・通信業,1
4073,ジィ・シィ企画,グロース,情報・通信業,1
4074,ラキール,グロース,情報・通信業,1
4075,ブレインズテクノロジー,グロース,情報・通信業,1
4076,シイエヌエス,グロース,情報・通信業,1
4078,堺化学工業,プライム,化学,1
407A,ＵＮＩＣＯＮホールディングス,スタンダード,建設業,1
4080,田中化学研究所,スタンダード,化学,1
4082,第一稀元素化学工業,プライム,化学,1
4088,エア・ウォーター,プライム,化学,1
4091,日本酸素ホールディングス,プライム,化学,1
4092,日本化学工業,プライム,化学,1
4093,東邦アセチレン,プライム,化学,1
4094,日本化学産業,スタンダード,化学,1
4095,日本パーカライジング,プライム,化学,1
4097,高圧ガス工業,プライム,化学,1
4098,チタン工業,スタンダード,化学,1
4099,四国化成ホールディングス,プライム,化学,1
409A,オリオンビール,プライム,食料品,1
4100,戸田工業,スタンダード,化学,1
4102,丸尾カルシウム,スタンダード,化学,1
4107,伊勢化学工業,スタンダード,化学,1
4109,ステラ　ケミファ,プライム,化学,1
410A,ＧＭＯコマース,グロース,サービス業,1
4112,保土谷化学工業,プライム,化学,1
4113,田岡化学工業,スタンダード,化学,1
4114,日本触媒,プライム,化学,1
4116,大日精化工業,プライム,化学,1
4118,カネカ,プライム,化学,1
4119,日本ピグメントホールディングス,スタンダード,化学,1
4120,スガイ化学工業,スタンダード,化学,1
4124,大阪油化工業,スタンダード,化学,1
4125,三和油化工業,スタンダード,化学,1
414A,オーバーラップホールディングス,グロース,情報・通信業,1
4151,協和キリン,プライム,医薬品,1
415A,ＧＭＯ　ＴＥＣＨホールディングス,グロース,サービス業,1
4165,プレイド,グロース,情報・通信業,1
4166,かっこ,グロース,情報・通信業,1
4167,ココペリ,グロース,情報・通信業,1
4168,ヤプリ,グロース,情報・通信業,1
4169,ＥＮＥＣＨＡＮＧＥ,グロース,情報・通信業,1
416A,富士ユナイトホールディングス,スタンダード,卸売業,1
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,グロース,情報・通信業,1
4171,グローバルインフォメーション,スタンダード,情報・通信業,1
4172,東和ハイシステム,スタンダード,情報・通信業,1
4174,アピリッツ,スタンダード,情報・通信業,1
4175,ｃｏｌｙ,グロース,情報・通信業,1
4176,ココナラ,グロース,情報・通信業,1
4177,ｉ‐ｐｌｕｇ,グロース,情報・通信業,1
4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,グロース,情報・通信業,1
4179,ジーネクスト,グロース,情報・通信業,1
417A,ブルーゾーンホールディングス,プライム,小売業,1
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,プライム,情報・通信業,1
4182,三菱瓦斯化学,プライム,化学,1
4183,三井化学,プライム,化学,1
4186,東京応化工業,プライム,化学,1
4187,大阪有機化学工業,プライム,化学,1
4188,三菱ケミカルグループ,プライム,化学,1
4189,ＫＨネオケム,プライム,化学,1
4192,スパイダープラス,グロース,情報・通信業,1
4193,ファブリカホールディングス,スタンダード,情報・通信業,1
4194,ビジョナル,プライム,情報・通信業,1
4196,ネオマーケティング,スタンダード,情報・通信業,1
4197,アスマーク,スタンダード,情報・通信業,1
4198,テンダ,スタンダード,情報・通信業,1
4199,ワンダープラネット,グロース,情報・通信業,1
4202,ダイセル,プライム,化学,1
4203,住友ベークライト,プライム,化学,1
4204,積水化学工業,プライム,化学,1
4205,日本ゼオン,プライム,化学,1
4206,アイカ工業,プライム,化学,1
4208,ＵＢＥ,プライム,化学,1
4212,積水樹脂,プライム,化学,1
4216,旭有機材,プライム,化学,1
4218,ニチバン,プライム,化学,1
421A,ムービン・ストラテジック・キャリア,グロース,サービス業,1
4220,リケンテクノス,プライム,化学,1
4221,大倉工業,プライム,化学,1
4222,児玉化学工業,スタンダード,化学,1
4224,ロンシール工業,スタンダード,化学,1
4228,積水化成品工業,プライム,化学,1
4229,群栄化学工業,プライム,化学,1
4231,タイガースポリマー,スタンダード,化学,1
4234,サンエー化研,スタンダード,化学,1
4235,ウルトラファブリックス・ホールディングス,スタンダード,化学,1
4237,フジプレアム,スタンダード,化学,1
4238,ミライアル,スタンダード,化学,1
423A,ライオン事務器,スタンダード,卸売業,1
4240,クラスターテクノロジー,グロース,化学,1
4241,アテクト,スタンダード,化学,1
4242,タカギセイコー,スタンダード,化学,1
4243,ニックス,スタンダード,化学,1
4245,ダイキアクシス,スタンダード,化学,1
4246,ダイキョーニシカワ,プライム,化学,1
4247,ポバール興業,スタンダード,化学,1
4248,竹本容器,スタンダード,化学,1
4249,森六,プライム,化学,1
4251,恵和,プライム,化学,1
4255,ＴＨＥＣＯＯ,グロース,情報・通信業,1
4256,サインド,グロース,情報・通信業,1
4258,網屋,グロース,情報・通信業,1
4259,エクサウィザーズ,グロース,情報・通信業,1
4260,ハイブリッドテクノロジーズ,グロース,情報・通信業,1
4261,アジアクエスト,グロース,情報・通信業,1
4262,ニフティライフスタイル,グロース,情報・通信業,1
4263,サスメド,グロース,情報・通信業,1
4264,セキュア,グロース,情報・通信業,1
4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,グロース,情報・通信業,1
4270,ＢｅｅＸ,グロース,情報・通信業,1
4272,日本化薬,プライム,化学,1
4274,細谷火工,スタンダード,化学,1
4275,カーリット,プライム,化学,1
4284,ソルクシーズ,スタンダード,情報・通信業,1
4286,ＣＬホールディングス,スタンダード,サービス業,1
4287,ジャストプランニング,スタンダード,情報・通信業,1
4288,アズジェント,スタンダード,情報・通信業,1
428A,サイプレス・ホールディングス,スタンダード,小売業,1
4290,プレステージ・インターナショナル,プライム,サービス業,1
4293,セプテーニ・ホールディングス,スタンダード,サービス業,1
4299,ハイマックス,スタンダード,情報・通信業,1
429A,テクセンドフォトマスク,プライム,その他製品,1
4301,アミューズ,プライム,サービス業,1
4307,野村総合研究所,プライム,情報・通信業,1
4308,Ｊストリーム,グロース,情報・通信業,1
4310,ドリームインキュベータ,プライム,サービス業,1
4316,ビーマップ,グロース,情報・通信業,1
4317,レイ,スタンダード,サービス業,1
4318,クイック,プライム,サービス業,1
4319,ＴＡＣ,スタンダード,サービス業,1
431A,ユーソナー,グロース,情報・通信業,1
4320,ＣＥホールディングス,スタンダード,情報・通信業,1
4323,日本システム技術,プライム,情報・通信業,1
4324,電通グループ,プライム,サービス業,1
4326,インテージホールディングス,プライム,情報・通信業,1
4331,テイクアンドギヴ・ニーズ,プライム,サービス業,1
4333,東邦システムサイエンス,プライム,情報・通信業,1
4334,ユークス,スタンダード,情報・通信業,1
4335,ＩＰＳホールディングス,スタンダード,情報・通信業,1
4337,ぴあ,プライム,サービス業,1
4341,西菱電機,スタンダード,サービス業,1
4343,イオンファンタジー,プライム,サービス業,1
4344,ソースネクスト,プライム,情報・通信業,1
4345,シーティーエス,プライム,サービス業,1
4346,ＮＥＸＹＺ．Ｇｒｏｕｐ,スタンダード,その他金融業,1
4347,ブロードメディア,スタンダード,サービス業,1
4350,メディカルシステムネットワーク,スタンダード,小売業,1
4351,山田再生系債権回収総合事務所,スタンダード,その他金融業,1
4356,応用技術,スタンダード,情報・通信業,1
4360,マナック・ケミカル・パートナーズ,スタンダード,化学,1
4361,川口化学工業,スタンダード,化学,1
4362,日本精化,プライム,化学,1
4365,松本油脂製薬,スタンダード,化学,1
4366,ダイトーケミックス,スタンダード,化学,1
4367,広栄化学,スタンダード,化学,1
4368,扶桑化学工業,プライム,化学,1
4369,トリケミカル研究所,プライム,化学,1
436A,サイバーソリューションズ,グロース,情報・通信業,1
4370,モビルス,グロース,情報・通信業,1
4371,コアコンセプト・テクノロジー,グロース,情報・通信業,1
4372,ユミルリンク,グロース,情報・通信業,1
4373,シンプレクス・ホールディングス,プライム,情報・通信業,1
4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,グロース,情報・通信業,1
4375,セーフィー,グロース,情報・通信業,1
4376,くふうカンパニーホールディングス,グロース,情報・通信業,1
4377,ワンキャリア,グロース,情報・通信業,1
4378,ＣＩＮＣ,グロース,情報・通信業,1
4379,Ｐｈｏｔｏｓｙｎｔｈ,グロース,情報・通信業,1
4380,Ｍマート,グロース,情報・通信業,1
4381,ビープラッツ,グロース,情報・通信業,1
4382,ＨＥＲＯＺ,スタンダード,情報・通信業,1
4384,ラクスル,プライム,情報・通信業,1
4385,メルカリ,プライム,情報・通信業,1
4386,ＳＩＧグループ,スタンダード,情報・通信業,1
4387,ＺＵＵ,グロース,情報・通信業,1
4388,エーアイ,グロース,情報・通信業,1
4389,プロパティデータバンク,グロース,情報・通信業,1
438A,インフキュリオン,グロース,情報・通信業,1
4390,ＩＰＳ,プライム,情報・通信業,1
4391,ロジザード,グロース,情報・通信業,1
4392,ＦＩＧ,プライム,情報・通信業,1
4393,バンク・オブ・イノベーション,グロース,情報・通信業,1
4394,エクスモーション,グロース,情報・通信業,1
4395,アクリート,グロース,情報・通信業,1
4396,システムサポートホールディングス,プライム,情報・通信業,1
4397,チームスピリット,グロース,情報・通信業,1
4398,ブロードバンドセキュリティ,スタンダード,情報・通信業,1
4401,ＡＤＥＫＡ,プライム,化学,1
4403,日油,プライム,化学,1
4404,ミヨシ油脂,スタンダード,食料品,1
4406,新日本理化,スタンダード,化学,1
4409,東邦化学工業,スタンダード,化学,1
4410,ハリマ化成グループ,プライム,化学,1
4412,サイエンスアーツ,グロース,情報・通信業,1
4413,ボードルア,プライム,情報・通信業,1
4414,フレクト,グロース,情報・通信業,1
4415,ブロードエンタープライズ,グロース,情報・通信業,1
4416,Ｔｒｕｅ　Ｄａｔａ,グロース,情報・通信業,1
4417,グローバルセキュリティエキスパート,グロース,情報・通信業,1
4418,ＪＤＳＣ,グロース,情報・通信業,1
4419,Ｆｉｎａｔｅｘｔホールディングス,グロース,情報・通信業,1
441A,ＮＥ,グロース,情報・通信業,1
4420,イーソル,スタンダード,情報・通信業,1
4421,ディ・アイ・システム,スタンダード,情報・通信業,1
4422,ＶＡＬＵＥＮＥＸ,グロース,情報・通信業,1
4424,Ａｍａｚｉａ,グロース,情報・通信業,1
4425,Ｋｕｄａｎ,グロース,情報・通信業,1
4427,ＥｄｕＬａｂ,グロース,情報・通信業,1
4428,シノプス,グロース,情報・通信業,1
4429,リックソフト,グロース,情報・通信業,1
442A,クラシコ,グロース,繊維製品,1
4430,東海ソフト,スタンダード,情報・通信業,1
4431,スマレジ,グロース,情報・通信業,1
4432,ウイングアーク１ｓｔ,プライム,情報・通信業,1
4433,ヒト・コミュニケーションズ・ホールディングス,プライム,情報・通信業,1
4434,サーバーワークス,スタンダード,情報・通信業,1
4436,ミンカブ・ジ・インフォノイド,グロース,情報・通信業,1
4437,ｇｏｏｄｄａｙｓホールディングス,グロース,情報・通信業,1
4438,Ｗｅｌｂｙ,グロース,情報・通信業,1
4439,東名,スタンダード,情報・通信業,1
4440,ヴィッツ,スタンダード,情報・通信業,1
4441,トビラシステムズ,スタンダード,情報・通信業,1
4442,バルテス・ホールディングス,グロース,情報・通信業,1
4443,Ｓａｎｓａｎ,プライム,情報・通信業,1
4444,インフォネット,グロース,情報・通信業,1
4445,リビン・テクノロジーズ,グロース,情報・通信業,1
4446,Ｌｉｎｋ－Ｕグループ,プライム,情報・通信業,1
4447,ピー・ビーシステムズ,グロース,情報・通信業,1
4448,ｋｕｂｅｌｌ,グロース,情報・通信業,1
4449,ギフティ,プライム,情報・通信業,1
4450,パワーソリューションズ,グロース,情報・通信業,1
4452,花王,プライム,化学,1
4461,第一工業製薬,プライム,化学,1
4462,石原ケミカル,プライム,化学,1
4463,日華化学,スタンダード,化学,1
4464,ソフト９９コーポレーション,スタンダード,化学,1
4465,ニイタカ,スタンダード,化学,1
446A,ノースサンド,グロース,サービス業,1
4471,三洋化成工業,プライム,化学,1
4475,ＨＥＮＮＧＥ,グロース,情報・通信業,1
4476,ＡＩ　ＣＲＯＳＳ,グロース,情報・通信業,1
4477,ＢＡＳＥ,グロース,情報・通信業,1
4478,フリー,グロース,情報・通信業,1
4479,マクアケ,グロース,情報・通信業,1
4480,メドレー,プライム,情報・通信業,1
4481,ベース,プライム,情報・通信業,1
4482,ウィルズ,グロース,情報・通信業,1
4483,ＪＭＤＣ,プライム,情報・通信業,1
4484,ランサーズ,グロース,情報・通信業,1
4486,ユナイトアンドグロウ,グロース,情報・通信業,1
4487,スペースマーケット,グロース,情報・通信業,1
4488,ＡＩ　ｉｎｓｉｄｅ,グロース,情報・通信業,1
4490,ビザスク,グロース,情報・通信業,1
4491,コンピューターマネージメント,スタンダード,情報・通信業,1
4492,ゼネテック,スタンダード,情報・通信業,1
4493,サイバーセキュリティクラウド,グロース,情報・通信業,1
4494,バリオセキュア,スタンダード,情報・通信業,1
4495,アイキューブドシステムズ,グロース,情報・通信業,1
4496,コマースＯｎｅホールディングス,グロース,情報・通信業,1
4498,サイバートラスト,グロース,情報・通信業,1
4499,Ｓｐｅｅｅ,スタンダード,情報・通信業,1
4502,武田薬品工業,プライム,医薬品,1
4503,アステラス製薬,プライム,医薬品,1
4506,住友ファーマ,プライム,医薬品,1
4507,塩野義製薬,プライム,医薬品,1
4512,わかもと製薬,スタンダード,医薬品,1
4516,日本新薬,プライム,医薬品,1
4519,中外製薬,プライム,医薬品,1
4521,科研製薬,プライム,医薬品,1
4523,エーザイ,プライム,医薬品,1
4524,森下仁丹,スタンダード,医薬品,1
